Spiel #;Liga;m/f;Modus;Gruppe;Rnd.;Datum;Wochentag;Spieltag;Anspielzeit;Heim #;Heim;Gast #;Gast;Halle #;Halle;Hallenort;1. SR;2. SR;1. LR;2. LR
134095;4L;m;Hin-/RÅckrunde;Gruppe A;2;28.10.2017 15:30;Samstag;28.10.2017;15:30;6004;Volley Region Entlebuch 2;2957;VBC Malters 3;1552;MoosmÑttili;SchÅpfheim;;;;
133340;2L;f;Hin-/RÅckrunde;Gruppe A;2;28.10.2017 17:00;Samstag;28.10.2017;17:00;2475;Volley Region Entlebuch 1;1888;VBC Malters 1;1552;MoosmÑttili;SchÅpfheim;;;;
133910;2L;m;Hin-/RÅckrunde;Gruppe A;2;28.10.2017 18:00;Samstag;28.10.2017;18:00;2474;Volley Region Entlebuch 1;2956;VBC Malters 2;1552;MoosmÑttili;SchÅpfheim;;;;
133804;5L;f;Hin-/RÅckrunde;Gruppe B;2;28.10.2017 18:00;Samstag;28.10.2017;18:00;3823;Volley Region Entlebuch 4;6002;VBC Malters 3;1552;MoosmÑttili;SchÅpfheim;;;;
133652;4L;f;Hin-/RÅckrunde;Gruppe C;2;28.10.2017 19:00;Samstag;28.10.2017;19:00;5714;Volley Region Entlebuch 3;2958;VBC Malters 2;1552;MoosmÑttili;SchÅpfheim;;;;
134180;U23 1.Liga;f;Hin-/RÅckrunde;Gruppe A;2;29.10.2017 13:30;Sonntag;29.10.2017;13:30;3850;VB Neuenkirch  1;4027;VBC Malters 1;1367;Sporthalle GrÅnau;Neuenkirch;;;;
134183;U23 1.Liga;f;Hin-/RÅckrunde;Gruppe A;3;04.11.2017 13:00;Samstag;04.11.2017;13:00;4027;VBC Malters 1;6006;Volley Region Entlebuch 1;1961;BÅndtmÑttli;Malters;;;;
137564;U23 2L;m;2- und 3fach-Runde;Gruppe B;3;04.11.2017 13:00;Samstag;04.11.2017;13:00;6620;VBC Ebikon;6588;VBC Malters 2;782;Turnhalle Feldmatt;Ebikon;;;;
133915;2L;m;Hin-/RÅckrunde;Gruppe A;3;04.11.2017 15:00;Samstag;04.11.2017;15:00;2956;VBC Malters 2;756;VBC BÅrglen Fortuna 1;1961;BÅndtmÑttli;Malters;;;;
133345;2L;f;Hin-/RÅckrunde;Gruppe A;3;04.11.2017 16:00;Samstag;04.11.2017;16:00;1888;VBC Malters 1;128;VBC Ebikon 1;1961;BÅndtmÑttli;Malters;;;;
134467;U23 4.Liga;f;Hin-/RÅckrunde;Gruppe B;3;04.11.2017 18:00;Samstag;04.11.2017;18:00;4028;VBC Malters 2;3957;VBC Ettiswil;1961;BÅndtmÑttli;Malters;;;;
133143;NLB;m;Qualifikationsrunde;Ost;4;04.11.2017 18:30;Samstag;04.11.2017;18:30;2476;VBC Malters ;219;Volley Smash 05 Laufenburg-Kaisten;1961;BÅndtmÑttli;Malters;;;;
137482;U23 1L;m;3fach-Runde;Gruppe A;5;06.11.2017 20:30;Montag;06.11.2017;20:30;5118;VBC Malters 1;5117;Volley Emmen-Nord;1961;BÅndtmÑttli;Malters;;;;
133920;2L;m;Hin-/RÅckrunde;Gruppe A;4;07.11.2017 20:30;Dienstag;07.11.2017;20:30;520;TSV Steinen H1;2956;VBC Malters 2;1527;Bezirkshalle;Steinen;;;;
134447;U23 4.Liga;f;Hin-/RÅckrunde;Gruppe A;6;09.11.2017 20:30;Donnerstag;09.11.2017;20:30;4722;VBC Malters 3;6529;VTV Kriens 2;1156;Muoshof 1;Malters;;;;
134186;U23 1.Liga;f;Hin-/RÅckrunde;Gruppe A;4;09.11.2017 20:45;Donnerstag;09.11.2017;20:45;3857;VBC BÅrglen Fortuna 1;4027;VBC Malters 1;36;Sporthalle;BÅrglen;;;;
137479;U23 1L;m;3fach-Runde;Gruppe A;4;10.11.2017 20:30;Freitag;10.11.2017;20:30;5020;Volley Smash 05 Laufenb.-K.;5118;VBC Malters 1;1746;Sporthalle Blauen 2;Laufenburg;;;;
133659;4L;f;Hin-/RÅckrunde;Gruppe C;4;10.11.2017 20:45;Freitag;10.11.2017;20:45;3798;SG Willisau/Hergiswil;2958;VBC Malters 2;789;Sporthalle BBZ;Willisau;;;;
137565;U23 2L;m;2- und 3fach-Runde;Gruppe B;4;11.11.2017 13:00;Samstag;11.11.2017;13:00;6588;VBC Malters 2;5987;VBC Buochs;1961;BÅndtmÑttli;Malters;;;;
133807;5L;f;Hin-/RÅckrunde;Gruppe B;4;11.11.2017 16:00;Samstag;11.11.2017;16:00;3814;VBC Kerns 3;6002;VBC Malters 3;1238;Dossenhalle Kerns;Kerns;;;;
133350;2L;f;Hin-/RÅckrunde;Gruppe A;4;11.11.2017 17:30;Samstag;11.11.2017;17:30;611;VBC Kerns 1;1888;VBC Malters 1;1238;Dossenhalle Kerns;Kerns;;;;
137471;U23 1L;m;3fach-Runde;Gruppe A;1;13.11.2017 20:30;Montag;13.11.2017;20:30;5118;VBC Malters 1;5986;Audacia Hochdorf;1961;BÅndtmÑttli;Malters;;;;
